Date,Value
2013-01-31,-12251.9735
2013-02-28,2810.8751
2013-03-31,23946.1641
2013-04-30,13965.2889
2013-05-31,6255.376
2013-06-30,22999.4059
2013-07-31,24576.8653
2013-08-31,11680.5764
2013-09-30,16350.3934
2013-10-31,21793.105
2013-11-30,25562.37
2013-12-31,33809.3023
2014-01-31,-2199.9087
2014-02-28,6130.7348
2014-03-31,17422.8756
2014-04-30,13987.49
2014-05-31,1113.2248
2014-06-30,16676.7555
2014-07-31,33136.4567
2014-08-31,17240.6436
2014-09-30,30912.4122
2014-10-31,35401.6586
2014-11-30,29294.8716
2014-12-31,41791.1639
2015-01-31,21208.5693
2015-02-28,10782.6998
2015-03-31,23914.1572
2015-04-30,21727.6587
2015-05-31,10594.0171
2015-06-30,7816.0523
2015-07-31,44080.2209
2015-08-31,23553.5543
2015-09-30,35738.514
2015-10-31,32095.1388
2015-11-30,32323.8742
2015-12-31,43743.5725
2016-01-31,9598.805
2016-02-29,15715.885
2016-03-31,36635.4405
2016-04-30,36101.2592
2016-05-31,18443.2165
2016-06-30,32821.2461
2016-07-31,37368.2608
2016-08-31,27216.6724
2016-09-30,39215.2934
2016-10-31,31519.8096
2016-11-30,35430.9781
2016-12-31,44391.2405
2017-01-31,2.6557
2017-02-28,28382.2438
2017-03-31,48321.7644
2017-04-30,9236.9489
2017-05-31,2752.1751
2017-06-30,20260.4994
2017-07-31,40618.0925
2017-08-31,39816.4651
2017-09-30,51135.4401
2017-10-31,43683.2047
2017-11-30,45666.5281
2017-12-31,50891.8638
2018-01-31,11368.5463
2018-02-28,23233.2193
2018-03-31,49042.6966
2018-04-30,33157.0484
2018-05-31,12170.9052
2018-06-30,27094.9503
2018-07-31,34172.9765
2018-08-31,34187.3694
2018-09-30,31942.9535
2018-10-31,31530.4789
2018-11-30,26843.614
2018-12-31,32972.4953
2019-01-31,15580.2946
2019-02-28,24021.8887
2019-03-31,41885.123
2019-04-30,11643.9034
2019-05-31,355.9608
2019-06-30,12008.6036
2019-07-31,40223.7205
2019-08-31,35289.0496
2019-09-30,46437.5625
2019-10-31,24653.2616
2019-11-30,19609.8771
2019-12-31,18363.5047
2020-01-31,-16200.0107
2020-02-29,6204.6373
2020-03-31,17910.3235
2020-04-30,9128.297
2020-05-31,-1682.7564
2020-06-30,14468.5149
2020-07-31,24144.9951
2020-08-31,20832.4081
2020-09-30,33478.6708
2020-10-31,33710.6019
2020-11-30,27903.5833
2020-12-31,43964.7802
2021-01-31,19173.1435
2021-02-28,26255.7193
2021-03-31,41196.4645
2021-04-30,38221.9169
2021-05-31,14020.3519
2021-06-30,31879.9221
2021-07-31,41697.1845
2021-08-31,26738.9442
2021-09-30,36153.9141
2021-10-31,15787.9967
2021-11-30,23708.5276
2021-12-31,31699.6152
2022-01-31,-2731.3565
2022-02-28,11963.5282
2022-03-31,12153.8919
2022-04-30,-12237.4199
2022-05-31,-31129.3886
2022-06-30,1929.9824
2022-07-31,-3873.8683
2022-08-31,-16727.4114
2022-09-30,-11931.6406
2022-10-31,-11742.1892
2022-11-30,11474.4021
2022-12-31,27456.5152
2023-01-31,-19304.2611
2023-02-28,11267.9483
2023-03-31,32273.7598
2023-04-30,6842.4672
2023-05-31,-13579.0534
2023-06-30,30338.7223
2023-07-31,24762.0765
2023-08-31,25405.3481
2023-09-30,32910.4491
2023-10-31,24727.5261
2023-11-30,37488.3499
2023-12-31,53099.2069
2024-01-31,29886.3197
2024-02-29,34336.0839
2024-03-31,39883.7536
2024-04-30,36427.1022
2024-05-31,6977.1417
2024-06-30,52713.1734
2024-07-31,39558.5433
2024-08-31,25666.2492
2024-09-30,43986.9813
2024-10-31,29922.9158
2024-11-30,27062.5343
2024-12-31,45906.8583
2025-01-31,3658.4415
2025-02-28,18338.5095
2025-03-31,37425.1049
2025-04-30,21004.9999
2025-05-31,-5963.595
2025-06-30,38526.4182
2025-07-31,26010.696
2025-08-31,11181.5183
2025-09-30,30422.4003
2025-10-31,33025.2633
2025-11-30,12573.6668
