Date,Value
2008-03-31,-1881.785
2008-06-30,-1986.18
2008-09-30,-2080.962
2008-12-31,-1775.995
2009-03-31,-1401.472
2009-06-30,-1119.425
2009-09-30,-1339.024
2009-12-31,-1458.37
2010-03-31,-1901.206
2010-06-30,-2168.493
2010-09-30,-1727.252
2010-12-31,-2259.844
2011-03-31,-2368.234
2011-06-30,-2765.959
2011-09-30,-2795.753
2011-12-31,-3191.835
2012-03-31,-3479.148
2012-06-30,-3476.703
2012-09-30,-2617.615
2012-12-31,-3386.696
2013-03-31,-2840.103
2013-06-30,-2144.952
2013-09-30,-2370.197
2013-12-31,-2505.208
2014-03-31,-3002.647
2014-06-30,-2718.801
2014-09-30,-2373.592
2014-12-31,-2196.499
2015-03-31,-1645.985
2015-06-30,-2427.196
2015-09-30,-1959.526
2015-12-31,-1384.034
2016-03-31,-1152.302
2016-06-30,-1212.178
2016-09-30,-1122.707
2016-12-31,-1274.454
2017-03-31,-1814.081
2017-06-30,-1357.602
2017-09-30,-1220.384
2017-12-31,-1861.193
2018-03-31,-2237.737
2018-06-30,-2227.215
2018-09-30,-2402.604
2018-12-31,-2308.986
2019-03-31,-1825.374
2019-06-30,-1609.402
2019-09-30,-1491.766
2019-12-31,-1705.108
2020-03-31,-1491.183
2020-06-30,-57.077
2020-09-30,-486.122
2020-12-31,-358.038
2021-03-31,-882.805
2021-06-30,-1184.353
2021-09-30,-2273.695
2021-12-31,-3764.354
2022-03-31,-4918.242
2022-06-30,-3597.674
2022-09-30,-2272.507
2022-12-31,-1532.775
2023-03-31,29.948
2023-06-30,527.262
2023-09-30,611.221
2023-12-31,491.867
2024-03-31,363.461
2024-06-30,334.619
2024-09-30,385.921
2024-12-31,351.502
2025-03-31,204.452
2025-06-30,209.783
2025-09-30,389.619
