Date,Value
1993-03-31,0.0
1993-06-30,0.0
1993-09-30,0.0
1993-12-31,0.0
1994-03-31,0.0
1994-06-30,0.0
1994-09-30,0.0
1994-12-31,0.0
1995-03-31,0.0
1995-06-30,0.0
1995-09-30,0.0
1995-12-31,0.0
1996-03-31,0.0
1996-06-30,0.0
1996-09-30,0.0
1996-12-31,0.0
1997-03-31,0.0
1997-06-30,0.0
1997-09-30,0.0
1997-12-31,0.0
1998-03-31,0.0
1998-06-30,0.0
1998-09-30,0.0
1998-12-31,0.0
1999-03-31,0.0
1999-06-30,0.0
1999-09-30,0.0
1999-12-31,0.0
2000-03-31,0.0
2000-06-30,0.0
2000-09-30,0.0
2000-12-31,0.0
2001-03-31,0.0
2001-06-30,0.0
2001-09-30,0.0
2001-12-31,0.0
2002-03-31,0.0
2002-06-30,0.0
2002-09-30,0.0
2002-12-31,0.0
2003-03-31,0.0
2003-06-30,0.0
2003-09-30,0.0
2003-12-31,0.0
2004-03-31,-2036.716
2004-06-30,-2294.412
2004-09-30,-1773.181
2004-12-31,-1791.651
2005-03-31,-1190.482
2005-06-30,-1499.208
2005-09-30,-1533.75
2005-12-31,-1538.601
2006-03-31,-1690.044
2006-06-30,-1935.333
2006-09-30,-2377.055
2006-12-31,-3063.169
2007-03-31,-3692.2
2007-06-30,-4510.975
2007-09-30,-4268.752
2007-12-31,-5763.74
2008-03-31,-5040.187
2008-06-30,-6372.683
2008-09-30,-6928.178
2008-12-31,-6853.301
2009-03-31,-1847.142
2009-06-30,-1804.916
2009-09-30,-2464.605
2009-12-31,-2557.178
2010-03-31,-2298.001
2010-06-30,-2734.576
2010-09-30,-3596.445
2010-12-31,-4042.711
2011-03-31,-2940.716
2011-06-30,-4280.266
2011-09-30,-3446.41
2011-12-31,-3611.23
2012-03-31,-3093.128
2012-06-30,-2545.842
2012-09-30,-1480.93
2012-12-31,-2332.533
2013-03-31,-1631.922
2013-06-30,-405.885
2013-09-30,-738.98
2013-12-31,-974.128
2014-03-31,-1975.237
2014-06-30,-1957.739
2014-09-30,-1386.212
2014-12-31,-2586.645
2015-03-31,257.357
2015-06-30,-1005.319
2015-09-30,-1542.117
2015-12-31,168.87
2016-03-31,431.369
2016-06-30,752.694
2016-09-30,-1399.58
2016-12-31,-1124.169
2017-03-31,-731.604
2017-06-30,-721.508
2017-09-30,-838.72
2017-12-31,-2526.327
2018-03-31,-2775.158
2018-06-30,-1907.433
2018-09-30,-2756.987
2018-12-31,-3814.583
2019-03-31,-890.137
2019-06-30,-1359.538
2019-09-30,-1526.965
2019-12-31,-580.576
2020-03-31,-734.953
2020-06-30,2423.008
2020-09-30,1936.831
2020-12-31,3354.194
2021-03-31,1139.749
2021-06-30,945.672
2021-09-30,-4002.072
2021-12-31,-5767.708
2022-03-31,-6192.957
2022-06-30,-4092.725
2022-09-30,-6124.595
2022-12-31,-5613.052
2023-03-31,2363.356
2023-06-30,2830.068
2023-09-30,331.171
2023-12-31,-778.299
2024-03-31,1632.227
2024-06-30,-744.813
2024-09-30,-3826.528
2024-12-31,-3244.547
2025-03-31,-3037.741
2025-06-30,-3239.206
2025-09-30,-4004.223
