Date,Value
1995-03-31,-26012.9387981835
1995-06-30,-23006.6447774784
1995-09-30,-19705.7051019094
1995-12-31,-22205.6952397464
1996-03-31,-25760.9095394646
1996-06-30,-25743.177973584
1996-09-30,-29270.3154960829
1996-12-31,-29056.7755935179
1997-03-31,-30107.0752324847
1997-06-30,-34230.5121863934
1997-09-30,-36953.1798345699
1997-12-31,-35713.8862754486
1998-03-31,-32163.3230563009
1998-06-30,-34614.350800149
1998-09-30,-31993.2216691349
1998-12-31,-26258.1722189479
1999-03-31,-24619.8302083639
1999-06-30,-23872.9040113197
1999-09-30,-21678.2719125643
1999-12-31,-21948.4829261958
2000-03-31,-20509.1948702069
2000-06-30,-17734.7267635519
2000-09-30,-11126.0628544515
2000-12-31,-12633.9069518569
2001-03-31,-27843.0402424462
2001-06-30,-22250.6416658028
2001-09-30,-27337.920154985
2001-12-31,-39804.9592402653
2002-03-31,-46197.9935915028
2002-06-30,-47726.0063397504
2002-09-30,-52062.1008426206
2002-12-31,-47741.6088022359
2003-03-31,-33673.4931566882
2003-06-30,-37499.3546804065
2003-09-30,-43779.8183846544
2003-12-31,-44924.4258590699
2004-03-31,-49308.2442115197
2004-06-30,-50182.2973526901
2004-09-30,-39859.8481770474
2004-12-31,-39111.1276474929
2005-03-31,-44004.2872363349
2005-06-30,-35185.5291981953
2005-09-30,-32979.5364420881
2005-12-31,-27191.4917920972
2006-03-31,-21921.8274983221
2006-06-30,-27262.501256381
2006-09-30,-29060.8795122956
2006-12-31,-39588.1092776909
2007-03-31,-37989.6768904593
2007-06-30,-42409.4260653665
2007-09-30,-38640.7821796028
2007-12-31,-26658.0782028389
2008-03-31,-37163.4214216913
2008-06-30,-31403.1884537333
2008-09-30,-20083.6216772181
2008-12-31,-27277.1545789761
2009-03-31,-28689.1948265544
2009-06-30,-43740.0268699313
2009-09-30,-43248.1205402913
2009-12-31,-46696.3415464179
2010-03-31,-38858.3682956626
2010-06-30,-34118.0709404077
2010-09-30,-40475.0252897698
2010-12-31,-39606.285765427
2011-03-31,-31969.9584668662
2011-06-30,-37663.7994625655
2011-09-30,-45165.7805471667
2011-12-31,-53352.6617746382
2012-03-31,-59593.6724891807
2012-06-30,-68928.3909292341
2012-09-30,-82821.5238002414
2012-12-31,-85593.7052195418
2013-03-31,-88422.0399929282
2013-06-30,-93784.2238425411
2013-09-30,-88292.086142525
2013-12-31,-91062.890785464
2014-03-31,-93501.4766912821
2014-06-30,-96643.1201226126
2014-09-30,-100867.217651468
2014-12-31,-111564.799592125
2015-03-31,-131994.9116233
2015-06-30,-99840.4496865
2015-09-30,-129243.933019876
2015-12-31,-118336.80184723
2016-03-31,-126508.151881008
2016-06-30,-127717.985787479
2016-09-30,-124527.511397442
2016-12-31,-109167.486162866
2017-03-31,-127132.918111681
2017-06-30,-95323.4210657033
2017-09-30,-137361.817003908
2017-12-31,-138456.795698851
2018-03-31,-132023.206464707
2018-06-30,-126433.952523157
2018-09-30,-114721.279234767
2018-12-31,-94010.9869269719
2019-03-31,-132185.278387604
2019-06-30,-91161.4495390968
2019-09-30,-131865.700753082
2019-12-31,-70629.2447276372
2020-03-31,-67201.7792869653
2020-06-30,-88309.3886163686
2020-09-30,-127071.88119465
2020-12-31,-131743.668812804
2021-03-31,-144518.462130907
2021-06-30,-135022.722291522
2021-09-30,-132118.039177343
2021-12-31,-91687.8091933408
2022-03-31,-87895.5906385186
2022-06-30,-60930.0988127114
2022-09-30,-35922.3050779172
2022-12-31,-84986.9147803981
2023-03-31,-116329.745288128
2023-06-30,-128160.78863888
2023-09-30,-137796.444773615
2023-12-31,-143161.160712865
2024-03-31,-171561.301311979
2024-06-30,-181467.945508149
2024-09-30,-153820.611906832
2024-12-31,-161144.70946578
2025-03-31,-158372.833160005
2025-06-30,-159675.292672744
2025-09-30,-154291.523896931
