Date,Value
1995-03-31,2104596.86318572
1995-06-30,2121318.67468571
1995-09-30,2126752.35702166
1995-12-31,2131515.70910395
1996-03-31,2134987.87998025
1996-06-30,2151800.67507586
1996-09-30,2161987.82570509
1996-12-31,2174038.26470381
1997-03-31,2180479.36581226
1997-06-30,2206744.45599505
1997-09-30,2223959.68135102
1997-12-31,2247332.72800896
1998-03-31,2263375.95418311
1998-06-30,2272225.27737783
1998-09-30,2284197.17248777
1998-12-31,2291187.3740248
1999-03-31,2314110.03247388
1999-06-30,2325232.55248302
1999-09-30,2355723.44949104
1999-12-31,2380737.91267346
2000-03-31,2411108.73972958
2000-06-30,2432933.75321192
2000-09-30,2449266.63877991
2000-12-31,2460950.08359196
2001-03-31,2488070.27203691
2001-06-30,2489177.29879748
2001-09-30,2494460.00735722
2001-12-31,2493092.45615966
2002-03-31,2498709.85339018
2002-06-30,2510309.11391666
2002-09-30,2521826.94992698
2002-12-31,2526554.83207128
2003-03-31,2519744.28632583
2003-06-30,2521001.13050936
2003-09-30,2537426.12955663
2003-12-31,2553592.24057919
2004-03-31,2566945.08707266
2004-06-30,2582912.54527776
2004-09-30,2588726.68662703
2004-12-31,2600249.90153369
2005-03-31,2607290.10768909
2005-06-30,2623322.54232945
2005-09-30,2642859.11015085
2005-12-31,2661268.5222618
2006-03-31,2686323.42890509
2006-06-30,2715870.50477272
2006-09-30,2730658.60509948
2006-12-31,2762599.47345898
2007-03-31,2782029.54969268
2007-06-30,2800742.20954645
2007-09-30,2811546.87908861
2007-12-31,2825787.823558
2008-03-31,2843954.7480303
2008-06-30,2830030.93932563
2008-09-30,2814634.88985135
2008-12-31,2766065.18213935
2009-03-31,2681351.82236183
2009-06-30,2681440.25717686
2009-09-30,2691023.38141177
2009-12-31,2702899.61769488
2010-03-31,2713534.83311767
2010-06-30,2738840.65048027
2010-09-30,2751007.73165921
2010-12-31,2767240.08232933
2011-03-31,2793572.53045044
2011-06-30,2793422.94077264
2011-09-30,2793930.17810327
2011-12-31,2785332.99578117
2012-03-31,2778557.31676035
2012-06-30,2768631.03329106
2012-09-30,2764988.97266457
2012-12-31,2752974.66192738
2013-03-31,2743942.06043834
2013-06-30,2761945.99056924
2013-09-30,2770115.90870398
2013-12-31,2775821.96731921
2014-03-31,2788887.13273555
2014-06-30,2795465.48608408
2014-09-30,2809059.94265642
2014-12-31,2819467.88942934
2015-03-31,2840812.37090283
2015-06-30,2852837.44650387
2015-09-30,2865097.42152677
2015-12-31,2879160.82048416
2016-03-31,2892985.09917492
2016-06-30,2898543.55769267
2016-09-30,2912569.78801155
2016-12-31,2934832.73758046
2017-03-31,2958505.93688905
2017-06-30,2978124.78941338
2017-09-30,2999953.01104811
2017-12-31,3024370.34248823
2018-03-31,3025693.35556814
2018-06-30,3041210.22885379
2018-09-30,3043571.42516507
2018-12-31,3060011.69800463
2019-03-31,3082073.43925757
2019-06-30,3093218.98746629
2019-09-30,3099016.54115671
2019-12-31,3095864.37402475
2020-03-31,2995226.42465512
2020-06-30,2662292.14599094
2020-09-30,2969581.28505039
2020-12-31,2980539.6714865
2021-03-31,3004071.59183774
2021-06-30,3069269.89385061
2021-09-30,3123168.58367004
2021-12-31,3148351.57468399
2022-03-31,3171400.72840897
2022-06-30,3201210.87323411
2022-09-30,3215589.12918353
2022-12-31,3213935.91661197
2023-03-31,3213360.90566596
2023-06-30,3219815.99899431
2023-09-30,3219216.24883542
2023-12-31,3220961.72916528
2024-03-31,3229740.24518675
2024-06-30,3237118.10878893
2024-09-30,3251665.23786
2024-12-31,3264166.62591448
2025-03-31,3282502.78346657
2025-06-30,3287354.98579942
2025-09-30,3296013.22904609
