Date,Value
1995-03-31,7636.19176232276
1995-06-30,6074.56673418861
1995-09-30,6813.41435966689
1995-12-31,7290.74949358542
1996-03-31,7937.00202565834
1996-06-30,8378.7530947558
1996-09-30,8545.01462975467
1996-12-31,7962.43529146973
1997-03-31,9155.05289218996
1997-06-30,9515.05739365294
1997-09-30,10020.5041638533
1997-12-31,10404.1188386226
1998-03-31,10814.4271888364
1998-06-30,11001.7780778753
1998-09-30,11283.6821967139
1998-12-31,11520.6842223723
1999-03-31,11641.841098357
1999-06-30,11843.6191762323
1999-09-30,12004.6590141796
1999-12-31,12054.5352239478
2000-03-31,11951.7668242179
2000-06-30,12257.4161602521
2000-09-30,12210.8485257709
2000-12-31,12397.7717758271
2001-03-31,11940.8057618726
2001-06-30,11431.0600945307
2001-09-30,10955.8406482107
2001-12-31,10752.7121314427
2002-03-31,10660.0720234076
2002-06-30,10490.5694350664
2002-09-30,10500.0
2002-12-31,10352.8921899617
2003-03-31,10451.2041413459
2003-06-30,10508.8453747468
2003-09-30,10632.5680846275
2003-12-31,10567.2293495386
2004-03-31,11121.291919874
2004-06-30,10991.8748593293
2004-09-30,11207.2248480756
2004-12-31,11499.5723610173
2005-03-31,11343.3490884537
2005-06-30,11880.1935629079
2005-09-30,12145.3972541076
2005-12-31,12581.4989871708
2006-03-31,12848.4807562458
2006-06-30,13624.6455097907
2006-09-30,14179.2482556831
2006-12-31,14831.5327481431
2007-03-31,15811.8613549404
2007-06-30,16012.9867206842
2007-09-30,16906.1444969615
2007-12-31,17335.1564258384
2008-03-31,17717.1280666217
2008-06-30,18258.2489309025
2008-09-30,17999.3472878686
2008-12-31,17892.3250056268
2009-03-31,18349.9887463426
2009-06-30,17363.6506864731
2009-09-30,17260.8372721134
2009-12-31,16900.742741391
2010-03-31,15895.971190637
2010-06-30,16435.2689624128
2010-09-30,16352.2394778303
2010-12-31,16796.0837272113
2011-03-31,17408.5302723385
2011-06-30,17906.8872383525
2011-09-30,18352.1944632005
2011-12-31,18719.7389151474
2012-03-31,18401.102858429
2012-06-30,18249.358541526
2012-09-30,17849.3360342111
2012-12-31,17889.4440693225
2013-03-31,17478.7756020707
2013-06-30,17913.5944181859
2013-09-30,18458.1363943282
2013-12-31,18664.0783254558
2014-03-31,19681.4539725411
2014-06-30,20172.6986270538
2014-09-30,20642.6288543777
2014-12-31,21056.1782579338
2015-03-31,21884.7400405132
2015-06-30,21382.7143821742
2015-09-30,21960.5671843349
2015-12-31,22287.0357866307
2016-03-31,19451.8118388476
2016-06-30,20376.5473778978
2016-09-30,20227.2338510016
2016-12-31,20456.3808237677
2017-03-31,19997.3441368445
2017-06-30,20429.1469727661
2017-09-30,20811.8838622552
2017-12-31,21449.4035561558
2018-03-31,22792.2799909971
2018-06-30,22987.3283817241
2018-09-30,24008.2151699302
2018-12-31,24180.3286067972
2019-03-31,24541.9536349314
2019-06-30,25193.4953860005
2019-09-30,25226.7161827594
2019-12-31,26321.0218320954
2020-03-31,26504.1413459374
2020-06-30,24395.228449246
2020-09-30,24472.7211343687
2020-12-31,24245.1271663291
2021-03-31,24455.593067747
2021-06-30,24799.07720009
2021-09-30,25406.7071798334
2021-12-31,25339.7029034436
2022-03-31,25794.8908395228
2022-06-30,25113.8645059644
2022-09-30,25546.5676344812
2022-12-31,25656.1782579338
2023-03-31,26825.1181634031
2023-06-30,27756.4483457124
2023-09-30,28605.0191312177
2023-12-31,29714.0445644835
2024-03-31,28363.5606572136
2024-06-30,29319.1762322755
2024-09-30,28292.842673869
2024-12-31,28415.9351789332
2025-03-31,29460.2520819266
2025-06-30,29226.423587666
2025-09-30,30240.2430790007
