Date,Value
1995-03-31,11194.6657663741
1995-06-30,11479.2932703129
1995-09-30,11495.5660589692
1995-12-31,11480.4186360567
1996-03-31,11633.0407382399
1996-06-30,11539.5903668692
1996-09-30,11729.0794508215
1996-12-31,12010.1958136394
1997-03-31,12055.8856628404
1997-06-30,11991.2446545127
1997-09-30,12109.0704478956
1997-12-31,12278.708080126
1998-03-31,12205.8969164979
1998-06-30,12436.2592842674
1998-09-30,12521.6970515418
1998-12-31,12415.2149448571
1999-03-31,12631.7128066622
1999-06-30,12706.5046139996
1999-09-30,12655.2104433941
1999-12-31,12818.2759396804
2000-03-31,13214.1571010578
2000-06-30,13425.7483682197
2000-09-30,13818.9511591267
2000-12-31,13875.6920999325
2001-03-31,14008.080126041
2001-06-30,14107.5849651137
2001-09-30,14094.6207517443
2001-12-31,14321.6970515418
2002-03-31,14313.2568084628
2002-06-30,14430.9700652712
2002-09-30,14499.7074049066
2002-12-31,14538.712581589
2003-03-31,14689.6916497862
2003-06-30,14834.1886112987
2003-09-30,15075.5795633581
2003-12-31,15189.2189961738
2004-03-31,15364.4834571236
2004-06-30,15404.2988971416
2004-09-30,15521.7645734864
2004-12-31,15839.3202790907
2005-03-31,15768.7373396354
2005-06-30,16106.6396578888
2005-09-30,16341.6835471528
2005-12-31,16578.6405581814
2006-03-31,16915.237452172
2006-06-30,17018.4109835697
2006-09-30,17118.523520144
2006-12-31,16983.6821967139
2007-03-31,17229.1919873959
2007-06-30,17393.0677470178
2007-09-30,17453.6124240378
2007-12-31,17737.1145622327
2008-03-31,17827.6614899842
2008-06-30,18187.3283817241
2008-09-30,18483.5696601395
2008-12-31,18571.8208417736
2009-03-31,18850.461399955
2009-06-30,18694.7783029485
2009-09-30,18678.3704704029
2009-12-31,19010.2183209543
2010-03-31,19053.4998874634
2010-06-30,19291.199639883
2010-09-30,19587.2833670943
2010-12-31,19406.2120189061
2011-03-31,19277.4926851227
2011-06-30,19137.8573036237
2011-09-30,18893.0677470178
2011-12-31,18965.136169255
2012-03-31,18924.960612199
2012-06-30,18922.6198514517
2012-09-30,19027.7965338735
2012-12-31,19094.1030835021
2013-03-31,19354.6252532073
2013-06-30,19260.5896916498
2013-09-30,19370.1553004727
2013-12-31,19453.7024532973
2014-03-31,19625.2306999775
2014-06-30,20056.6509115463
2014-09-30,20233.1982894441
2014-12-31,20225.2982219221
2015-03-31,20281.7690749494
2015-06-30,20425.4782804411
2015-09-30,20571.2131442719
2015-12-31,20979.4958361467
2016-03-31,20974.9493585415
2016-06-30,21020.0765248706
2016-09-30,21108.4177357641
2016-12-31,21139.4328156651
2017-03-31,21329.3945532298
2017-06-30,21504.951609273
2017-09-30,21637.4746792708
2017-12-31,21852.4420436642
2018-03-31,21921.2018906145
2018-06-30,22264.6635156426
2018-09-30,22555.5705604321
2018-12-31,22933.2207967589
2019-03-31,23444.767049291
2019-06-30,23646.972766149
2019-09-30,23999.0321854603
2019-12-31,24093.0452397029
2020-03-31,24437.1370695476
2020-06-30,24680.9813189287
2020-09-30,24981.5440018006
2020-12-31,25380.9813189287
2021-03-31,25642.9889714157
2021-06-30,25959.9594868332
2021-09-30,26269.0074274139
2021-12-31,26608.1926626154
2022-03-31,26797.6817465676
2022-06-30,26983.3445869908
2022-09-30,27067.1393202791
2022-12-31,24836.2142696376
2023-03-31,27070.6054467702
2023-06-30,27354.5577312627
2023-09-30,27906.8197164078
2023-12-31,28279.7434166104
2024-03-31,29240.1080351114
2024-06-30,29718.9961737565
2024-09-30,29829.4395678596
2024-12-31,30361.0398379473
2025-03-31,30494.4857078551
2025-06-30,30895.2509565609
2025-09-30,31445.0146297547
