Date,Value
1995-03-31,28077.245104659
1995-06-30,30914.6072473554
1995-09-30,31834.503713707
1995-12-31,32896.4663515643
1996-03-31,32671.8208417736
1996-06-30,33249.6736439343
1996-09-30,33908.5752869683
1996-12-31,34915.5075399505
1997-03-31,35403.5111411209
1997-06-30,36480.7787530948
1997-09-30,36540.9408057619
1997-12-31,36092.7976592393
1998-03-31,37498.9871708305
1998-06-30,37584.4924600495
1998-09-30,38225.0956560882
1998-12-31,38153.1847850551
1999-03-31,39145.9149223498
1999-06-30,40022.01215395
1999-09-30,39989.9392302498
1999-12-31,40631.4427188836
2000-03-31,40965.4062570335
2000-06-30,40919.4688273689
2000-09-30,41038.1949133468
2000-12-31,41657.4836821967
2001-03-31,41539.0051766824
2001-06-30,41836.6419086203
2001-09-30,42403.9612874184
2001-12-31,42107.9675894666
2002-03-31,43248.5482781904
2002-06-30,43068.8948908395
2002-09-30,43574.9718658564
2002-12-31,44089.0389376547
2003-03-31,43403.0835021382
2003-06-30,43924.1503488634
2003-09-30,44170.4478955661
2003-12-31,45254.6027458924
2004-03-31,45370.3353589917
2004-06-30,46189.7591717308
2004-09-30,46071.370695476
2004-12-31,46182.1742066172
2005-03-31,45951.6317803286
2005-06-30,46513.1442718884
2005-09-30,47048.5932928202
2005-12-31,47429.3270312852
2006-03-31,47878.9331532748
2006-06-30,48305.4917848301
2006-09-30,49433.1757821292
2006-12-31,50575.3319828944
2007-03-31,50809.6781453973
2007-06-30,51489.8942156201
2007-09-30,51895.971190637
2007-12-31,52299.9099707405
2008-03-31,54264.8210668467
2008-06-30,55062.2327256358
2008-09-30,55306.3020481657
2008-12-31,55998.6495611074
2009-03-31,56368.624803061
2009-06-30,56388.4087328382
2009-09-30,57001.3729462075
2009-12-31,57465.4962862931
2010-03-31,58346.8152149449
2010-06-30,58711.006076975
2010-09-30,59491.3346837722
2010-12-31,59533.0407382399
2011-03-31,59946.3200540176
2011-06-30,60665.3387350889
2011-09-30,61121.6745442269
2011-12-31,60925.4107584965
2012-03-31,61132.0279090704
2012-06-30,61175.5570560432
2012-09-30,61034.1886112987
2012-12-31,61324.2853927526
2013-03-31,60755.2779653387
2013-06-30,60661.4224623003
2013-09-30,61277.425163178
2013-12-31,61376.3448120639
2014-03-31,62078.1228899392
2014-06-30,62719.2437542201
2014-09-30,63035.2689624128
2014-12-31,64000.6076975017
2015-03-31,64819.0186810714
2015-06-30,65463.3805986946
2015-09-30,65348.3457123565
2015-12-31,65899.6623902768
2016-03-31,66825.1181634031
2016-06-30,67223.4526221022
2016-09-30,68341.2559081702
2016-12-31,68928.1566509116
2017-03-31,70695.3860004501
2017-06-30,71394.8008102633
2017-09-30,72310.2408282692
2017-12-31,73198.3344586991
2018-03-31,74191.5372496061
2018-06-30,74988.2961962638
2018-09-30,75535.5840648211
2018-12-31,76831.9153724961
2019-03-31,76981.0713481882
2019-06-30,77439.0501913122
2019-09-30,77894.7783029485
2019-12-31,79140.4681521494
2020-03-31,78088.8588791357
2020-06-30,69332.3880261085
2020-09-30,77542.0436641909
2020-12-31,76455.8406482107
2021-03-31,77932.0504163853
2021-06-30,78766.8017105559
2021-09-30,81185.2577087554
2021-12-31,82583.2545577313
2022-03-31,84324.3754220122
2022-06-30,85201.102858429
2022-09-30,83804.411433716
2022-12-31,83435.9441818591
2023-03-31,82891.6497861805
2023-06-30,83140.2880936304
2023-09-30,85456.9435066397
2023-12-31,84533.8735088904
2024-03-31,85793.1577762773
2024-06-30,86159.4643259059
2024-09-30,86546.4776052217
2024-12-31,87654.13009228
2025-03-31,88297.0965563808
2025-06-30,89562.210218321
2025-09-30,89509.7681746568
