Date,Value
1995-03-31,9004.11883862255
1995-06-30,9880.46365068647
1995-09-30,10184.042313752
1995-12-31,11176.8399729912
1996-03-31,13006.9322529822
1996-06-30,12173.7114562233
1996-09-30,14646.0949808688
1996-12-31,11741.9311276165
1997-03-31,14595.971190637
1997-06-30,15021.7870808013
1997-09-30,15600.2700877785
1997-12-31,17035.7641233401
1998-03-31,17893.8780103534
1998-06-30,18253.4323655188
1998-09-30,18941.8185910421
1998-12-31,18808.7103308575
1999-03-31,19011.2311501238
1999-06-30,18959.5093405357
1999-09-30,18678.167904569
1999-12-31,18136.3718208418
2000-03-31,21592.5275714607
2000-06-30,21156.4483457124
2000-09-30,20442.1562007653
2000-12-31,23032.0504163853
2001-03-31,20820.189061445
2001-06-30,20124.3754220122
2001-09-30,21011.6587891065
2001-12-31,19799.7074049066
2002-03-31,19946.7702003151
2002-06-30,21114.5397254108
2002-09-30,21176.0072023408
2002-12-31,21585.0101282917
2003-03-31,22036.6869232501
2003-06-30,21793.9680396129
2003-09-30,23339.6128741841
2003-12-31,24503.3310826018
2004-03-31,23780.8237677245
2004-06-30,25196.151249156
2004-09-30,25369.9977492685
2004-12-31,24965.0236326806
2005-03-31,24236.1242403781
2005-06-30,26368.6022957461
2005-09-30,26725.1181634031
2005-12-31,28490.276839973
2006-03-31,30101.7105559307
2006-06-30,30334.1886112987
2006-09-30,31296.7139320279
2006-12-31,33417.240603196
2007-03-31,35018.2534323655
2007-06-30,35397.1865856403
2007-09-30,36408.440243079
2007-12-31,38057.8663065496
2008-03-31,39868.3997299122
2008-06-30,40221.8095881161
2008-09-30,40306.3695701103
2008-12-31,38021.7195588566
2009-03-31,33760.5671843349
2009-06-30,32936.7994598244
2009-09-30,35250.2363268062
2009-12-31,36280.6437092055
2010-03-31,37229.6421336935
2010-06-30,39946.7702003151
2010-09-30,40075.422012154
2010-12-31,41273.0812514067
2011-03-31,41284.5374746793
2011-06-30,42192.3250056268
2011-09-30,41912.9867206842
2011-12-31,41818.3659689399
2012-03-31,42247.332883187
2012-06-30,41595.4760297097
2012-09-30,40735.8766599145
2012-12-31,41145.9824442944
2013-03-31,41276.9074949359
2013-06-30,40961.2198964664
2013-09-30,42859.7119063696
2013-12-31,43442.943956786
2014-03-31,44477.3801485483
2014-06-30,45609.18298447
2014-09-30,46958.4289894216
2014-12-31,47017.9158226424
2015-03-31,47249.8537024533
2015-06-30,47937.249606122
2015-09-30,48944.2493810488
2015-12-31,50325.3432365519
2016-03-31,50986.0454647761
2016-06-30,52705.7168579788
2016-09-30,52872.0684222372
2016-12-31,52934.5487283367
2017-03-31,56361.2424037812
2017-06-30,56761.6700427639
2017-09-30,57473.3513391852
2017-12-31,59348.6158001351
2018-03-31,60115.7101057844
2018-06-30,61449.4260634706
2018-09-30,61997.3216295296
2018-12-31,63700.0
2019-03-31,63714.9223497637
2019-06-30,63691.379698402
2019-09-30,64630.6099482332
2019-12-31,63280.5311726311
2020-03-31,64686.7431915373
2020-06-30,52364.7310375872
2020-09-30,64273.1712806662
2020-12-31,67467.6119738915
2021-03-31,69479.4283142021
2021-06-30,71360.9047940581
2021-09-30,72778.347963088
2021-12-31,75748.4132343012
2022-03-31,76066.7341886113
2022-06-30,77452.7796533874
2022-09-30,78288.071123115
2022-12-31,77407.0222822417
2023-03-31,76089.6916497862
2023-06-30,74816.4303398605
2023-09-30,76545.689849201
2023-12-31,77294.0355615575
2024-03-31,78329.0569435066
2024-06-30,80189.0614449696
2024-09-30,79847.9405806887
2024-12-31,79956.5833896016
2025-03-31,81360.2520819266
2025-06-30,82833.941030835
2025-09-30,84785.0101282917
