Date,Value
1995-03-31,10785.6178257934
1995-06-30,11341.6835471528
1995-09-30,11388.071123115
1995-12-31,11886.608147648
1996-03-31,13065.0011253657
1996-06-30,13225.7933828494
1996-09-30,14299.0096781454
1996-12-31,9912.19896466352
1997-03-31,14802.9259509341
1997-06-30,14101.0353364844
1997-09-30,13442.7638982669
1997-12-31,14291.6722934954
1998-03-31,16639.2977717758
1998-06-30,16704.1863605672
1998-09-30,16013.7969840198
1998-12-31,15318.7936079226
1999-03-31,16043.304073824
1999-06-30,15440.738239928
1999-09-30,16197.6592392528
1999-12-31,15315.1249155976
2000-03-31,18902.2957461175
2000-06-30,19599.5273463876
2000-09-30,18478.6630654963
2000-12-31,20915.237452172
2001-03-31,20033.0857528697
2001-06-30,19584.7850551429
2001-09-30,21010.083277065
2001-12-31,19698.9421562008
2002-03-31,20287.891064596
2002-06-30,20616.4753544902
2002-09-30,21517.060544677
2002-12-31,21794.0580688724
2003-03-31,21839.4103083502
2003-06-30,23503.8037362143
2003-09-30,24923.115012379
2003-12-31,25900.8552779653
2004-03-31,24064.1683547153
2004-06-30,25630.2948458249
2004-09-30,25821.9671393203
2004-12-31,25347.2878685573
2005-03-31,26151.5192437542
2005-06-30,27121.1568759847
2005-09-30,27896.9840198064
2005-12-31,29854.9628629305
2006-03-31,31028.2466801711
2006-06-30,31730.4073823993
2006-09-30,32222.0571685798
2006-12-31,32944.9696151249
2007-03-31,34316.8129642134
2007-06-30,34505.0191312176
2007-09-30,35561.3099257259
2007-12-31,36504.7040288094
2008-03-31,39070.0202565834
2008-06-30,37965.4287643484
2008-09-30,38354.0400630205
2008-12-31,35248.5032635607
2009-03-31,33980.9588116138
2009-06-30,34683.7047040288
2009-09-30,36193.5178933153
2009-12-31,36772.0684222372
2010-03-31,37712.9642133693
2010-06-30,40257.0335358992
2010-09-30,40194.125590817
2010-12-31,41291.7623227549
2011-03-31,42092.2799909971
2011-06-30,43008.620301598
2011-09-30,43336.7094305649
2011-12-31,43349.9887463426
2012-03-31,44300.742741391
2012-06-30,44818.5235201441
2012-09-30,44632.2304749043
2012-12-31,44714.6522619852
2013-03-31,45499.9549853702
2013-06-30,45890.0517668242
2013-09-30,48381.8140895791
2013-12-31,47716.6779203241
2014-03-31,47838.8701327932
2014-06-30,49073.1487733513
2014-09-30,50591.73981544
2014-12-31,50366.1039837947
2015-03-31,51433.7159576863
2015-06-30,51211.2761647536
2015-09-30,53526.3110510916
2015-12-31,54820.2340760747
2016-03-31,55833.0407382399
2016-06-30,58058.4965113662
2016-09-30,57042.6963763223
2016-12-31,58926.0859779428
2017-03-31,61459.7569209993
2017-06-30,61806.1219896466
2017-09-30,63036.1242403781
2017-12-31,64340.2655863156
2018-03-31,64711.006076975
2018-06-30,66934.0085527797
2018-09-30,67426.8737339635
2018-12-31,68526.3785730362
2019-03-31,69776.0522169705
2019-06-30,70026.0184559982
2019-09-30,71260.8372721135
2019-12-31,70796.1287418411
2020-03-31,71507.5624577988
2020-06-30,59648.4807562458
2020-09-30,72200.5176682422
2020-12-31,75481.7690749494
2021-03-31,76426.063470628
2021-06-30,78053.7924825568
2021-09-30,77867.7920324105
2021-12-31,80790.7494935854
2022-03-31,80835.223947783
2022-06-30,85001.8681071348
2022-09-30,85467.5444519469
2022-12-31,85072.8786855728
2023-03-31,85481.2514067072
2023-06-30,84779.1132117938
2023-09-30,89833.3333333333
2023-12-31,88780.3060994823
2024-03-31,88863.6281791582
2024-06-30,88966.6441593518
2024-09-30,88756.2682871933
2024-12-31,89213.8870132793
2025-03-31,90114.4271888364
2025-06-30,91301.3279315778
2025-09-30,93762.5478280441
