Date,Value
1995-03-31,5692.27767842627
1995-06-30,6117.23092470945
1995-09-30,6508.19311212455
1995-12-31,6673.85370341972
1996-03-31,7068.65799279213
1996-06-30,6936.01337034053
1996-09-30,6830.68858845096
1996-12-31,7032.07209224225
1997-03-31,7796.77110334723
1997-06-30,7966.3840096911
1997-09-30,8308.84227296867
1997-12-31,8634.37563866748
1998-03-31,9918.71475409836
1998-06-30,10460.3858350951
1998-09-30,10025.190569943
1998-12-31,9599.21827287163
1999-03-31,8991.35112079996
1999-06-30,9176.18945205152
1999-09-30,9870.08780768677
1999-12-31,10175.8968920041
2000-03-31,11392.6168707952
2000-06-30,12455.17460628
2000-09-30,12854.4122091266
2000-12-31,13799.3206834027
2001-03-31,14188.9077322593
2001-06-30,14644.2881745121
2001-09-30,14346.9995480046
2001-12-31,14592.5784343172
2002-03-31,14756.315294898
2002-06-30,15229.4923188679
2002-09-30,14805.6603773585
2002-12-31,15465.749311984
2003-03-31,15457.3188198224
2003-06-30,15659.3663911846
2003-09-30,16322.5296085345
2003-12-31,16633.3059352829
2004-03-31,16095.722630488
2004-06-30,17636.0688610619
2004-09-30,18094.3801428701
2004-12-31,18910.7269377923
2005-03-31,20242.1337571709
2005-06-30,20347.3765768383
2005-09-30,21553.9242522271
2005-12-31,23312.9597466285
2006-03-31,24885.33354196
2006-06-30,25190.3905577225
2006-09-30,25974.681943496
2006-12-31,27930.0639326368
2007-03-31,28551.1411882768
2007-06-30,29275.8847520063
2007-09-30,30885.2770448549
2007-12-31,32742.2370435163
2008-03-31,34734.5283704802
2008-06-30,35759.8473730555
2008-09-30,36792.4790665337
2008-12-31,31662.8339263901
2009-03-31,27900.5957144127
2009-06-30,28128.6750668194
2009-09-30,30219.7103244557
2009-12-31,31415.7623667505
2010-03-31,33063.633399383
2010-06-30,35680.8643050957
2010-09-30,36875.2463392122
2010-12-31,38110.5480764383
2011-03-31,39857.2731880385
2011-06-30,40744.671178907
2011-09-30,40232.6679028102
2011-12-31,39845.7484108852
2012-03-31,41992.0149306622
2012-06-30,42028.1723206949
2012-09-30,43122.9028670889
2012-12-31,43626.4620771831
2013-03-31,43554.2615140286
2013-06-30,43857.7723786385
2013-09-30,45352.3789344822
2013-12-31,45891.9551764509
2014-03-31,46100.3752121024
2014-06-30,47302.2200888036
2014-09-30,47924.0424461638
2014-12-31,47908.125949848
2015-03-31,49789.4385345609
2015-06-30,51139.4711738375
2015-09-30,51224.7056856986
2015-12-31,52187.564499484
2016-03-31,51482.4979382388
2016-06-30,53452.5764471788
2016-09-30,53644.3968001475
2016-12-31,55074.3896032707
2017-03-31,58484.1920103689
2017-06-30,60338.6874822056
2017-09-30,61386.7815956972
2017-12-31,62338.570956004
2018-03-31,64222.8177641654
2018-06-30,64964.9485019825
2018-09-30,66207.7756088492
2018-12-31,67729.1186937408
2019-03-31,69486.1446903478
2019-06-30,70426.4997781566
2019-09-30,71559.1422749166
2019-12-31,71761.3305031373
2020-03-31,71793.0667653385
2020-06-30,58406.3339773913
2020-09-30,72592.8219215095
2020-12-31,76272.0250382899
2021-03-31,77966.4298127901
2021-06-30,81603.1441125168
2021-09-30,84119.8615886643
2021-12-31,88950.1656812423
2022-03-31,94105.7971014493
2022-06-30,103688.016351119
2022-09-30,106741.910323165
2022-12-31,107691.056394636
2023-03-31,109844.374588475
2023-06-30,109555.261649694
2023-09-30,107551.253556188
2023-12-31,108692.029231431
2024-03-31,110829.714074724
2024-06-30,109619.22146777
2024-09-30,111236.313123059
2024-12-31,110917.115527489
2025-03-31,113003.974770915
2025-06-30,113631.021940631
2025-09-30,114853.499295444
