Date,Value
1995-03-31,49874.859329282
1995-06-30,50791.8073373847
1995-09-30,52212.8966914247
1995-12-31,52832.7706504614
1996-03-31,53958.5190186811
1996-06-30,55041.4584740041
1996-09-30,55648.435741616
1996-12-31,53734.0085527797
1997-03-31,57051.5192437542
1997-06-30,57843.3490884538
1997-09-30,58054.5802385775
1997-12-31,59058.2039162728
1998-03-31,60210.3533648436
1998-06-30,60212.3340085528
1998-09-30,60799.1447220347
1998-12-31,60997.254107585
1999-03-31,61482.2192212469
1999-06-30,62788.7688498762
1999-09-30,64047.1978392978
1999-12-31,65025.500787756
2000-03-31,65488.071123115
2000-06-30,66204.1413459374
2000-09-30,66418.6360567184
2000-12-31,67664.7535449021
2001-03-31,67398.7620976818
2001-06-30,67201.6880486158
2001-09-30,67523.2500562683
2001-12-31,67476.6824217871
2002-03-31,67904.411433716
2002-06-30,68356.4933603421
2002-09-30,69007.8550528922
2002-12-31,69356.0432140446
2003-03-31,69649.2460049516
2003-06-30,70810.6684672519
2003-09-30,71724.4204366419
2003-12-31,72284.3799234751
2004-03-31,73994.4181859104
2004-06-30,74611.3661940131
2004-09-30,74571.7533198289
2004-12-31,75300.2250731488
2005-03-31,75717.6907494936
2005-06-30,76068.4222372271
2005-09-30,77438.9151474229
2005-12-31,78831.9378798109
2006-03-31,80063.6957011029
2006-06-30,81923.9027683997
2006-09-30,83259.824442944
2006-12-31,82110.5109160477
2007-03-31,85494.6657663741
2007-06-30,86611.748818366
2007-09-30,88127.3688948909
2007-12-31,89339.0501913122
2008-03-31,90754.8503263561
2008-06-30,91252.6446094981
2008-09-30,91219.626378573
2008-12-31,91380.193562908
2009-03-31,92460.5671843349
2009-06-30,92670.8980418636
2009-09-30,93379.1132117938
2009-12-31,94980.1710555931
2010-03-31,94637.0020256584
2010-06-30,96045.5322979968
2010-09-30,97174.2966464101
2010-12-31,97980.4636506865
2011-03-31,99741.9086203016
2011-06-30,101002.700877785
2011-09-30,102184.40243079
2011-12-31,103131.712806662
2012-03-31,103351.474229124
2012-06-30,103122.597344137
2012-09-30,103172.608597794
2012-12-31,103063.943281567
2013-03-31,102781.093855503
2013-06-30,103558.564033311
2013-09-30,104317.285617826
2013-12-31,104901.080351114
2014-03-31,106303.983794733
2014-06-30,107509.115462525
2014-09-30,108381.611523745
2014-12-31,109305.154175107
2015-03-31,111092.910195814
2015-06-30,111726.783704704
2015-09-30,113220.976817466
2015-12-31,114182.084177358
2016-03-31,113978.618050867
2016-06-30,115658.991672294
2016-09-30,116333.08575287
2016-12-31,118583.322079676
2017-03-31,119971.145622327
2017-06-30,121152.847175332
2017-09-30,122969.885212694
2017-12-31,124717.915822642
2018-03-31,127189.241503489
2018-06-30,129049.155975692
2018-09-30,130680.216070223
2018-12-31,131956.695926176
2019-03-31,133871.753319829
2019-06-30,135116.002700878
2019-09-30,136178.8206167
2019-12-31,137150.573936529
2020-03-31,137975.579563358
2020-06-30,125561.039837947
2020-09-30,133809.475579563
2020-12-31,134000.652712131
2021-03-31,137142.741390952
2021-06-30,140628.584289894
2021-09-30,143526.716182759
2021-12-31,146391.087103309
2022-03-31,151221.494485708
2022-06-30,149539.117713257
2022-09-30,150369.412559082
2022-12-31,147924.870582939
2023-03-31,149367.184334909
2023-06-30,148448.413234301
2023-09-30,151307.224848076
2023-12-31,150799.459824443
2024-03-31,152127.301372946
2024-06-30,154416.993022732
2024-09-30,154447.085302723
2024-12-31,156731.060094531
2025-03-31,157767.679495836
2025-06-30,159017.870808013
2025-09-30,160386.833220797
