"DATE","TIME PERIOD","HICP - Energy (ICP.M.U2.N.NRGY00.4.ANR)"
"1997-01-31","1997Jan","5.2"
"1997-02-28","1997Feb","4.5"
"1997-03-31","1997Mar","3.7"
"1997-04-30","1997Apr","2.1"
"1997-05-31","1997May","2.1"
"1997-06-30","1997Jun","2.5"
"1997-07-31","1997Jul","2.8"
"1997-08-31","1997Aug","4.2"
"1997-09-30","1997Sep","2.6"
"1997-10-31","1997Oct","1.5"
"1997-11-30","1997Nov","1.3"
"1997-12-31","1997Dec","0.7"
"1998-01-31","1998Jan","-1.3"
"1998-02-28","1998Feb","-1.4"
"1998-03-31","1998Mar","-1.6"
"1998-04-30","1998Apr","-1.0"
"1998-05-31","1998May","-1.5"
"1998-06-30","1998Jun","-1.7"
"1998-07-31","1998Jul","-1.9"
"1998-08-31","1998Aug","-3.9"
"1998-09-30","1998Sep","-3.9"
"1998-10-31","1998Oct","-4.1"
"1998-11-30","1998Nov","-4.4"
"1998-12-31","1998Dec","-4.9"
"1999-01-31","1999Jan","-4.3"
"1999-02-28","1999Feb","-4.3"
"1999-03-31","1999Mar","-2.8"
"1999-04-30","1999Apr","0.4"
"1999-05-31","1999May","0.6"
"1999-06-30","1999Jun","1.4"
"1999-07-31","1999Jul","3.2"
"1999-08-31","1999Aug","5.0"
"1999-09-30","1999Sep","6.4"
"1999-10-31","1999Oct","6.5"
"1999-11-30","1999Nov","7.3"
"1999-12-31","1999Dec","10.2"
"2000-01-31","2000Jan","12.1"
"2000-02-29","2000Feb","13.5"
"2000-03-31","2000Mar","15.2"
"2000-04-30","2000Apr","10.1"
"2000-05-31","2000May","11.9"
"2000-06-30","2000Jun","14.3"
"2000-07-31","2000Jul","13.2"
"2000-08-31","2000Aug","11.6"
"2000-09-30","2000Sep","15.2"
"2000-10-31","2000Oct","14.1"
"2000-11-30","2000Nov","14.7"
"2000-12-31","2000Dec","10.7"
"2001-01-31","2001Jan","7.2"
"2001-02-28","2001Feb","7.5"
"2001-03-31","2001Mar","4.9"
"2001-04-30","2001Apr","7.2"
"2001-05-31","2001May","7.9"
"2001-06-30","2001Jun","4.9"
"2001-07-31","2001Jul","2.3"
"2001-08-31","2001Aug","1.5"
"2001-09-30","2001Sep","-1.8"
"2001-10-31","2001Oct","-3.0"
"2001-11-30","2001Nov","-5.3"
"2001-12-31","2001Dec","-4.7"
"2002-01-31","2002Jan","-1.9"
"2002-02-28","2002Feb","-2.9"
"2002-03-31","2002Mar","-1.6"
"2002-04-30","2002Apr","-0.5"
"2002-05-31","2002May","-2.8"
"2002-06-30","2002Jun","-3.5"
"2002-07-31","2002Jul","-1.6"
"2002-08-31","2002Aug","-0.3"
"2002-09-30","2002Sep","-0.1"
"2002-10-31","2002Oct","2.6"
"2002-11-30","2002Nov","2.4"
"2002-12-31","2002Dec","3.8"
"2003-01-31","2003Jan","6.0"
"2003-02-28","2003Feb","7.6"
"2003-03-31","2003Mar","7.5"
"2003-04-30","2003Apr","2.2"
"2003-05-31","2003May","0.6"
"2003-06-30","2003Jun","1.5"
"2003-07-31","2003Jul","2.0"
"2003-08-31","2003Aug","2.6"
"2003-09-30","2003Sep","1.6"
"2003-10-31","2003Oct","0.8"
"2003-11-30","2003Nov","2.3"
"2003-12-31","2003Dec","1.8"
"2004-01-31","2004Jan","-0.4"
"2004-02-29","2004Feb","-2.2"
"2004-03-31","2004Mar","-2.0"
"2004-04-30","2004Apr","2.0"
"2004-05-31","2004May","6.7"
"2004-06-30","2004Jun","5.9"
"2004-07-31","2004Jul","5.9"
"2004-08-31","2004Aug","6.5"
"2004-09-30","2004Sep","6.4"
"2004-10-31","2004Oct","9.7"
"2004-11-30","2004Nov","8.7"
"2004-12-31","2004Dec","6.9"
"2005-01-31","2005Jan","6.2"
"2005-02-28","2005Feb","7.7"
"2005-03-31","2005Mar","8.8"
"2005-04-30","2005Apr","10.1"
"2005-05-31","2005May","6.8"
"2005-06-30","2005Jun","9.4"
