"DATE","TIME PERIOD","HICP - Energy (ICP.A.PL.N.NRGY00.4.INW)"
"1996-12-31","1996","141.77"
"1997-12-31","1997","139.99"
"1998-12-31","1998","132.98"
"1999-12-31","1999","132.86"
"2000-12-31","2000","143.85"
"2001-12-31","2001","139.37"
"2002-12-31","2002","142.67"
"2003-12-31","2003","145.62"
"2004-12-31","2004","160.54"
"2005-12-31","2005","161.07"
"2006-12-31","2006","159.45"
"2007-12-31","2007","161.88"
"2008-12-31","2008","129.16"
"2009-12-31","2009","126.93"
"2010-12-31","2010","130.45"
"2011-12-31","2011","139.38"
"2012-12-31","2012","154.05"
"2013-12-31","2013","156.69"
"2014-12-31","2014","149.28"
"2015-12-31","2015","156.50"
"2016-12-31","2016","134.68"
"2017-12-31","2017","136.13"
"2018-12-31","2018","134.53"
"2019-12-31","2019","134.19"
"2020-12-31","2020","130.60"
"2021-12-31","2021","129.77"
"2022-12-31","2022","145.00"
"2023-12-31","2023","133.67"
"2024-12-31","2024","128.88"
"2025-12-31","2025","127.59"
