DATE,TIME PERIOD,HICP - Energy (ICP.M.PL.N.NRGY00.4.ANR)
1/31/1997,1997Jan,21.2
2/28/1997,1997Feb,21.3
3/31/1997,1997Mar,20.7
4/30/1997,1997Apr,17.9
5/31/1997,1997May,16.7
6/30/1997,1997Jun,16.7
7/31/1997,1997Jul,16.9
8/31/1997,1997Aug,17.5
9/30/1997,1997Sep,17.3
10/31/1997,1997Oct,15.4
11/30/1997,1997Nov,14.9
12/31/1997,1997Dec,15.2
1/31/1998,1998Jan,17.2
2/28/1998,1998Feb,17.5
3/31/1998,1998Mar,16.6
4/30/1998,1998Apr,16.3
5/31/1998,1998May,16
6/30/1998,1998Jun,15.4
7/31/1998,1998Jul,14.7
8/31/1998,1998Aug,14.1
9/30/1998,1998Sep,13.1
10/31/1998,1998Oct,13.1
11/30/1998,1998Nov,12.5
12/31/1998,1998Dec,12.4
1/31/1999,1999Jan,3.4
2/28/1999,1999Feb,1.9
3/31/1999,1999Mar,5.7
4/30/1999,1999Apr,7.1
5/31/1999,1999May,7.8
6/30/1999,1999Jun,8.6
7/31/1999,1999Jul,8.8
8/31/1999,1999Aug,11.1
9/30/1999,1999Sep,12.6
10/31/1999,1999Oct,13.4
11/30/1999,1999Nov,14.6
12/31/1999,1999Dec,16
1/31/2000,2000Jan,15.3
2/29/2000,2000Feb,16
3/31/2000,2000Mar,14.2
4/30/2000,2000Apr,13.1
5/31/2000,2000May,14.8
6/30/2000,2000Jun,17.3
7/31/2000,2000Jul,17.2
8/31/2000,2000Aug,13.6
9/30/2000,2000Sep,13.9
10/31/2000,2000Oct,14.3
11/30/2000,2000Nov,13.8
12/31/2000,2000Dec,10.5
1/31/2001,2001Jan,9.7
2/28/2001,2001Feb,9
3/31/2001,2001Mar,7.9
4/30/2001,2001Apr,8.2
5/31/2001,2001May,6.5
6/30/2001,2001Jun,3.7
7/31/2001,2001Jul,4.8
8/31/2001,2001Aug,5.8
9/30/2001,2001Sep,5
10/31/2001,2001Oct,3.6
11/30/2001,2001Nov,3.1
12/31/2001,2001Dec,4
1/31/2002,2002Jan,4.6
2/28/2002,2002Feb,4.6
3/31/2002,2002Mar,3.8
4/30/2002,2002Apr,4.5
5/31/2002,2002May,3.8
6/30/2002,2002Jun,3.6
7/31/2002,2002Jul,4.1
8/31/2002,2002Aug,4.3
9/30/2002,2002Sep,4.2
10/31/2002,2002Oct,4.7
11/30/2002,2002Nov,4.7
12/31/2002,2002Dec,5.3
1/31/2003,2003Jan,5.6
2/28/2003,2003Feb,6.7
3/31/2003,2003Mar,7.7
4/30/2003,2003Apr,5.7
5/31/2003,2003May,4.5
6/30/2003,2003Jun,3.8
7/31/2003,2003Jul,3.1
8/31/2003,2003Aug,3.4
9/30/2003,2003Sep,3.2
10/31/2003,2003Oct,3.2
11/30/2003,2003Nov,3.5
12/31/2003,2003Dec,3.5
1/31/2004,2004Jan,4
2/29/2004,2004Feb,3.5
3/31/2004,2004Mar,2.9
4/30/2004,2004Apr,4.1
5/31/2004,2004May,7.8
6/30/2004,2004Jun,8.5
7/31/2004,2004Jul,7
8/31/2004,2004Aug,6.7
9/30/2004,2004Sep,7.4
10/31/2004,2004Oct,8
11/30/2004,2004Nov,8.1
12/31/2004,2004Dec,7.1
1/31/2005,2005Jan,5.9
2/28/2005,2005Feb,5.9
3/31/2005,2005Mar,5.7
4/30/2005,2005Apr,6.5
5/31/2005,2005May,4.5
6/30/2005,2005Jun,4.9
7/31/2005,2005Jul,7.1
8/31/2005,2005Aug,7.7
9/30/2005,2005Sep,8.1
10/31/2005,2005Oct,7.2
11/30/2005,2005Nov,6.1
12/31/2005,2005Dec,5.1
1/31/2006,2006Jan,5.4
2/28/2006,2006Feb,4.7
3/31/2006,2006Mar,4.2
4/30/2006,2006Apr,6.4
5/31/2006,2006May,7.5
6/30/2006,2006Jun,7.1
7/31/2006,2006Jul,6.1
